day,New_Cases,Cum_Cases
1,3,3
2,0,3
3,0,3
4,0,3
5,0,3
6,0,3
7,0,3
8,0,3
9,0,3
10,0,3
11,0,3
12,0,3
13,0,3
14,0,3
15,0,3
16,0,3
17,0,3
18,0,3
19,0,3
20,0,3
21,0,3
22,0,3
23,14,17
24,62,79
25,53,132
26,97,229
27,93,322
28,78,400
29,250,650
30,238,888
31,240,1128
32,561,1689
33,347,2036
34,466,2502
35,587,3089
36,769,3858
37,778,4636
38,1247,5883
39,1492,7375
40,1797,9172
41,977,10149
42,2313,12462
43,2651,15113
44,2547,17660
45,3497,21157
46,2823,23980
47,4000,27980
48,3526,31506
49,4207,35713
50,5322,41035
51,5986,47021
52,6557,53578
53,5560,59138
54,4789,63927
55,5249,69176
56,5210,74386
57,6153,80539
58,5959,86498
59,5974,92472
60,5217,97689
61,4050,101739
62,4053,105792
63,4782,110574
64,4668,115242
65,4585,119827
66,4805,124632
67,4316,128948
68,3599,132547
69,3039,135586
70,3836,139422
71,4204,143626
72,3951,147577
73,4694,152271
74,4092,156363
75,3153,159516
76,2972,162488
77,2667,165155
78,3786,168941
79,3493,172434
80,3491,175925
81,3047,178972
82,2256,181228
83,2729,183957
84,3370,187327
85,2646,189973
86,3021,192994
87,2357,195351
88,2324,197675
89,1739,199414
90,2091,201505
91,2086,203591
92,1872,205463
93,1965,207428
94,1900,209328
95,1389,210717
96,1221,211938
97,1075,213013
98,1444,214457
99,1401,215858
100,1327,217185
101,1083,218268
102,802,219070
103,744,219814
104,1402,221216
105,888,222104
106,992,223096
107,789,223885
108,875,224760
109,675,225435
110,451,225886
111,813,226699
112,665,227364
113,642,228006
114,652,228658
115,669,229327
116,531,229858
117,300,230158
118,397,230555
119,584,231139
120,593,231732
121,516,232248
122,416,232664
123,355,233019
124,178,233197
125,318,233515
126,321,233836
127,177,234013
128,518,234531
129,270,234801
130,197,234998
131,280,235278
132,283,235561
133,202,235763
134,379,236142
135,163,236305
136,346,236651
137,338,236989
138,301,237290
139,210,237500
140,328,237828
141,331,238159
142,-148,238011
143,264,238275
144,224,238499
145,221,238720
146,113,238833
147,577,239410
148,296,239706
149,255,239961
150,175,240136
151,174,240310
152,126,240436
153,142,240578
154,182,240760
155,201,240961
156,223,241184
157,235,241419
158,192,241611
159,208,241819
160,137,241956
161,193,242149
162,214,242363
163,276,242639
164,188,242827
165,234,243061
166,169,243230
167,114,243344
168,162,243506
169,230,243736
170,231,243967
171,249,244216
172,218,244434
173,190,244624
174,128,244752
175,280,245032
176,306,245338
177,252,245590
178,274,245864
179,254,246118
180,168,246286
181,202,246488
182,288,246776
183,382,247158
184,379,247537
185,295,247832
186,238,248070
187,159,248229
188,190,248419
189,384,248803
190,401,249204
191,552,249756
192,347,250103
193,463,250566
194,259,250825
195,412,251237
196,476,251713
197,522,252235
198,574,252809
199,629,253438
200,477,253915
201,320,254235
202,401,254636
203,642,255278
204,840,256118
205,947,257065
206,1071,258136
207,1209,259345
208,953,260298
209,876,261174
210,1366,262540
211,1409,263949
212,1460,265409
213,1444,266853
214,1365,268218
215,996,269214
216,975,270189
217,1326,271515
218,1397,272912
219,1732,274644
220,1694,276338
221,1296,277634
222,1150,278784
223,1369,280153
224,1430,281583
225,1597,283180
226,1616,284796
227,1501,286297
228,1456,287753
229,1008,288761
230,1229,289990
231,1452,291442
232,1583,293025
233,1907,294932
234,1637,296569
235,1587,298156
236,1350,299506
237,1391,300897
238,1640,302537
239,1786,304323
240,1912,306235
241,1869,308104
242,1766,309870
243,1494,311364
244,1647,313011
245,1850,314861
246,2548,317409
247,2499,319908
248,2843,322751
249,2578,325329
250,2257,327586
251,2677,330263
252,3677,333940
253,4458,338398
254,5372,343770
255,5724,349494
256,5456,354950
257,4619,359569
258,5898,365467
259,7332,372799
260,8803,381602
261,10009,391611
