day,New_Cases,Cum_Cases
1,2,2
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,1,3
8,0,3
9,0,3
10,1,4
11,4,8
12,0,8
13,0,8
14,1,9
15,0,9
16,0,9
17,0,9
18,0,9
19,0,9
20,0,9
21,0,9
22,0,9
23,0,9
24,0,9
25,4,13
26,0,13
27,0,13
28,0,13
29,6,19
30,4,23
31,12,35
32,5,40
33,11,51
34,34,85
35,29,114
36,46,160
37,46,206
38,65,271
39,50,321
40,52,373
41,83,456
42,134,590
43,207,797
44,264,1061
45,330,1391
46,152,1543
47,407,1950
48,676,2626
49,643,3269
50,714,3983
51,1035,5018
52,665,5683
53,967,6650
54,1427,8077
55,1452,9529
56,2129,11658
57,2890,14548
58,2556,17104
59,2502,19606
60,2665,22271
61,3250,25521
62,4567,30088
63,4522,34610
64,4672,39282
65,4000,43282
66,6199,49481
67,4143,53624
68,3888,57512
69,5865,63377
70,4675,68052
71,5706,73758
72,5234,78991
73,5288,84279
74,4342,88621
75,5252,93873
76,4605,98476
77,4618,103093
78,5599,108692
79,5526,114217
80,5850,120067
81,4676,124743
82,4301,129044
83,4451,133495
84,4583,138078
85,5386,143464
86,4913,148377
87,4463,152840
88,4310,157149
89,3996,161145
90,4076,165221
91,6032,171253
92,6201,177454
93,4806,182260
94,4339,186599
95,3985,190584
96,4406,194990
97,6111,201101
98,5614,206715
99,4649,211364
100,3896,215260
101,3923,219183
102,3877,223060
103,3403,226463
104,3242,229705
105,3446,233151
106,3560,236711
107,3451,240161
108,3562,243723
109,2684,246406
110,2412,248818
111,2472,248293
112,2615,250908
113,3287,254195
114,2959,257154
115,2409,259559
116,1625,261184
117,2004,265227
118,2013,267240
119,1887,269127
120,2095,271222
121,2445,272826
122,1936,274762
123,1570,276332
124,1613,277985
125,1871,279856
126,1805,281661
127,1650,283311
128,1557,284868
129,1326,286194
130,1205,287399
131,1387,289140
132,1003,290143
133,1266,291409
134,1541,292950
135,1425,294375
136,1514,295889
137,1056,296857
138,1279,298136
139,1115,299251
140,1218,300469
141,1346,301815
142,1295,303110
143,1221,304331
144,958,305289
145,874,306210
146,653,306862
147,1118,307980
148,1006,309360
149,890,310250
150,901,311151
151,815,311965
152,689,312654
153,829,313483
154,576,283757
155,544,284276
156,624,284900
157,516,285416
158,343,285768
159,581,286349
160,630,286979
161,642,287621
162,512,288133
163,820,288953
164,650,289603
165,530,290133
166,398,291373
167,538,291911
168,642,292552
169,687,293239
170,827,294066
171,726,294792
172,557,295372
173,445,295817
174,560,296377
175,769,297146
176,768,297914
177,767,298681
178,745,299426
179,685,300111
180,581,300692
181,763,301455
182,846,302301
183,880,303181
184,761,303942
185,744,304685
186,898,305623
187,670,306293
188,892,307184
189,950,308134
190,871,309005
191,758,309763
192,1062,310825
193,740,311641
194,1148,312789
195,1009,313798
196,1129,314927
197,1441,316367
198,1077,317444
199,1040,318484
200,713,319197
201,1089,320286
202,812,321098
203,1182,322280
204,1033,323313
205,1288,324601
206,1160,325761
207,853,326614
208,1184,327798
209,1048,328846
210,1522,330368
211,1276,331644
212,1108,332752
213,1715,334467
214,1406,335873
215,1295,337168
216,1508,338676
217,1735,340411
218,1940,342351
219,1813,344164
220,2988,347152
221,2948,350100
222,2460,352560
223,2659,355219
224,2919,358138
225,3539,361677
226,3497,365174
227,3330,368504
228,2621,371125
229,3105,374228
230,3991,378219
231,3395,381614
232,4322,385936
233,4422,390358
234,3899,394257
235,4368,398625
236,4926,403551
237,6178,409729
238,6634,416363
239,6874,423236
240,6042,429277
241,5693,434969
242,4044,439013
243,7143,446156
244,7108,453264
245,6914,460178
246,6968,467146
247,12872,480017
248,22961,502978
249,12594,515571
250,14542,530113
251,14162,544275
252,17540,561815
253,13864,575679
254,15166,590844
255,12872,603716
256,13972,617688
257,17234,634920
258,19724,654644
259,18980,673622
260,15650,689257
261,16171,705428
